candidate_identity_key,artist_display_name,title,apple_collection_id,status,previous_track_count,previous_tracks_with_apple_id,apple_track_count,first_track_id,last_track_id
album|radiohead|bends,Radiohead,The Bends,1097862703,added_sidecar_album,0,0,12,1097862726,1097863295
album|radiohead|ok computer,Radiohead,OK Computer,1097861387,added_sidecar_album,0,0,12,1097861769,1097861845
album|radiohead|kid a,Radiohead,Kid A,1097862870,added_sidecar_album,0,0,11,1097863108,1097863582
album|radiohead|in rainbows,Radiohead,In Rainbows,1109714933,added_sidecar_album,0,0,10,1109715066,1109715479
album|oasis|what s the story morning glory,Oasis,(What's the Story) Morning Glory?,1517447039,added_sidecar_album,0,0,12,1517447321,1517447869
