review_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,review_reason,candidate_count,best_score,error_message,raw_payload_persisted
graph_album:album|badfinger|straight up:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|badfinger|straight up,graph_album,album,Badfinger,Straight Up,1971,us,apple_album_search_no_auto_match,2,88,,false
graph_album:album|band|music from big pink:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|band|music from big pink,graph_album,album,The Band,Music from Big Pink,1968,us,apple_album_search_no_auto_match,10,88,,false
graph_album:album|beach boys|surfin u s a:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|beach boys|surfin u s a,graph_album,album,The Beach Boys,Surfin' U.S.A.,1963,us,apple_album_search_no_auto_match,10,50,,false
graph_album:album|beach house|teen dream:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|beach house|teen dream,graph_album,album,Beach House,Teen Dream,2010,us,apple_album_search_no_auto_match,5,88,,false
graph_album:album|beat|beat:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|beat|beat,graph_album,album,The Beat,The Beat,1979,us,apple_album_search_no_auto_match,10,38,,false
graph_album:album|bethel music|we will not be shaken:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|bethel music|we will not be shaken,graph_album,album,Bethel Music,We Will Not Be Shaken,2015,us,apple_album_search_no_auto_match,10,88,,false
graph_album:album|big black|atomizer:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|big black|atomizer,graph_album,album,Big Black,Atomizer,1986,us,apple_album_search_no_auto_match,1,85,,false
graph_album:album|big black|songs about fucking:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|big black|songs about fucking,graph_album,album,Big Black,Songs About Fucking,1987,us,apple_album_search_no_auto_match,3,50,,false
graph_album:album|bikini kill|pussy whipped:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|bikini kill|pussy whipped,graph_album,album,Bikini Kill,Pussy Whipped,1993,us,apple_album_search_no_auto_match,1,50,,false
graph_album:album|bill evans trio|waltz for debby:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|bill evans trio|waltz for debby,graph_album,album,Bill Evans Trio,Waltz for Debby,1962,us,apple_album_search_no_auto_match,10,73,,false
graph_album:album|bing crosby|merry christmas:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|bing crosby|merry christmas,graph_album,album,Bing Crosby,Merry Christmas,1945,us,apple_album_search_no_auto_match,10,50,,false
graph_album:album|black eyed peas|e n d:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|black eyed peas|e n d,graph_album,album,Black Eyed Peas,The E.N.D.,2009,us,apple_album_search_no_auto_match,10,88,,false
graph_album:album|blondie|blondie:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|blondie|blondie,graph_album,album,Blondie,Blondie,1976,us,apple_album_search_no_auto_match,10,88,,false
graph_album:album|boogie down productions|by all means necessary:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|boogie down productions|by all means necessary,graph_album,album,Boogie Down Productions,By All Means Necessary,1988,us,apple_album_search_no_auto_match,1,88,,false
graph_album:album|bottle rockets|brooklyn side:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|bottle rockets|brooklyn side,graph_album,album,The Bottle Rockets,The Brooklyn Side,1994,us,apple_album_search_no_auto_match,10,0,,false
graph_album:album|boyz ii men|cooleyhighharmony:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|boyz ii men|cooleyhighharmony,graph_album,album,Boyz II Men,Cooleyhighharmony,1991,us,apple_album_search_no_auto_match,10,42,,false
