deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,error_message,raw_payload_persisted
album_sidecar_track:album|amyl and the sniffers|comfort to me@@1@@11@@@@don t need a cunt like you to love me:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|amyl and the sniffers|comfort to me@@1@@11@@@@don t need a cunt like you to love me,album_sidecar_track,track,Amyl and the Sniffers,Don’t Need a Cunt (Like You to Love Me),2021,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|angel witch|angel witch@@1@@10@@@@devils tower:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|angel witch|angel witch@@1@@10@@@@devils tower,album_sidecar_track,track,Angel Witch,Devils Tower,1980,us,residual_track_no_safe_match,21,57,,false
album_sidecar_track:album|angie stone|black diamond@@1@@15@@@@don t wanna ride without you:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|angie stone|black diamond@@1@@15@@@@don t wanna ride without you,album_sidecar_track,track,Angie Stone,Don’t Wanna Ride Without You,1999,us,residual_track_no_safe_match,1,72,,false
album_sidecar_track:album|babes in toyland|fontanelle@@1@@13@@@@real eyes:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|babes in toyland|fontanelle@@1@@13@@@@real eyes,album_sidecar_track,track,Babes in Toyland,Real Eyes,1992,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|bad brains|rock for light@@1@@1@@@@coptic times:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@1@@@@coptic times,album_sidecar_track,track,Bad Brains,Coptic Times,1983,us,residual_track_no_safe_match,18,61,,false
album_sidecar_track:album|bad brains|rock for light@@1@@12@@@@how low can a punk get:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@12@@@@how low can a punk get,album_sidecar_track,track,Bad Brains,How Low Can a Punk Get,1983,us,residual_track_no_safe_match,17,61,,false
album_sidecar_track:album|bad brains|rock for light@@1@@13@@@@big takeover:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@13@@@@big takeover,album_sidecar_track,track,Bad Brains,Big Takeover,1983,us,residual_track_no_safe_match,17,66,,false
album_sidecar_track:album|bad brains|rock for light@@1@@14@@@@i i survive:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@14@@@@i i survive,album_sidecar_track,track,Bad Brains,I + I Survive,1983,us,residual_track_no_safe_match,17,43,,false
album_sidecar_track:album|bad brains|rock for light@@1@@15@@@@destroy babylon:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@15@@@@destroy babylon,album_sidecar_track,track,Bad Brains,Destroy Babylon,1983,us,residual_track_no_safe_match,17,61,,false
album_sidecar_track:album|bad brains|rock for light@@1@@16@@@@rock for light:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@16@@@@rock for light,album_sidecar_track,track,Bad Brains,Rock for Light,1983,us,residual_track_no_safe_match,17,61,,false
album_sidecar_track:album|bad brains|rock for light@@1@@3@@@@we will not:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@3@@@@we will not,album_sidecar_track,track,Bad Brains,We Will Not,1983,us,residual_track_no_safe_match,16,61,,false
album_sidecar_track:album|bad brains|rock for light@@1@@5@@@@rally around jah throne:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@5@@@@rally around jah throne,album_sidecar_track,track,Bad Brains,Rally Around Jah Throne,1983,us,residual_track_no_safe_match,15,49,,false
album_sidecar_track:album|bad brains|rock for light@@1@@6@@@@right brigade:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@6@@@@right brigade,album_sidecar_track,track,Bad Brains,Right Brigade,1983,us,residual_track_no_safe_match,15,59,,false
album_sidecar_track:album|bad brains|rock for light@@1@@7@@@@f v k:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@7@@@@f v k,album_sidecar_track,track,Bad Brains,F.V.K.,1983,us,residual_track_no_safe_match,15,43,,false
album_sidecar_track:album|bad brains|rock for light@@1@@9@@@@meek shall inherit earth:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad brains|rock for light@@1@@9@@@@meek shall inherit earth,album_sidecar_track,track,Bad Brains,The Meek Shall Inherit the Earth,1983,us,residual_track_no_safe_match,14,61,,false
album_sidecar_track:album|bad bunny|yhlqmdlg@@1@@16@@@@esta cabron ser yo:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bad bunny|yhlqmdlg@@1@@16@@@@esta cabron ser yo,album_sidecar_track,track,Bad Bunny,Está cabrón ser yo,2020,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|bauhaus|in the flat field@@1@@8@@@@stigmata martyr:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bauhaus|in the flat field@@1@@8@@@@stigmata martyr,album_sidecar_track,track,Bauhaus,Stigmata Martyr,1980,us,residual_track_no_safe_match,11,61,,false
album_sidecar_track:album|ben folds|rockin the suburbs@@1@@5@@@@fred jones part 2:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|ben folds|rockin the suburbs@@1@@5@@@@fred jones part 2,album_sidecar_track,track,Ben Folds,"Fred Jones, Part 2",2001,us,residual_track_no_safe_match,1,58,,false
album_sidecar_track:album|big l|lifestylez ov da poor and dangerous@@1@@11@@@@fed up with bullshit:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|big l|lifestylez ov da poor and dangerous@@1@@11@@@@fed up with bullshit,album_sidecar_track,track,Big L,Fed Up With the Bullshit,1995,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|big pun|capital punishment@@1@@17@@@@twinz deep cover 98:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|big pun|capital punishment@@1@@17@@@@twinz deep cover 98,album_sidecar_track,track,Big Pun,Twinz (Deep Cover ’98),1998,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@12@@@@end of a love affair:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@12@@@@end of a love affair,album_sidecar_track,track,Billie Holiday,The End of a Love Affair,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@13@@@@prelude to a kiss:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@13@@@@prelude to a kiss,album_sidecar_track,track,Billie Holiday,Prelude to a Kiss,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@14@@@@a ghost of a chance:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@14@@@@a ghost of a chance,album_sidecar_track,track,Billie Holiday,A Ghost of a Chance,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@15@@@@gone with wind:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@15@@@@gone with wind,album_sidecar_track,track,Billie Holiday,Gone With the Wind,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@16@@@@come rain or come shine:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@16@@@@come rain or come shine,album_sidecar_track,track,Billie Holiday,Come Rain or Come Shine,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@17@@@@what s new:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@17@@@@what s new,album_sidecar_track,track,Billie Holiday,What’s New?,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@18@@@@fine and mellow:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@18@@@@fine and mellow,album_sidecar_track,track,Billie Holiday,Fine and Mellow,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@19@@@@when your lover has gone:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@19@@@@when your lover has gone,album_sidecar_track,track,Billie Holiday,When Your Lover Has Gone,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@20@@@@don t explain:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|billie holiday|lady in satin@@1@@20@@@@don t explain,album_sidecar_track,track,Billie Holiday,Don’t Explain,1958,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|black eyed peas|e n d@@1@@1@@@@boom boom pow new:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|black eyed peas|e n d@@1@@1@@@@boom boom pow new,album_sidecar_track,track,Black Eyed Peas,Boom Boom Pow (new),2009,us,residual_track_no_safe_match,1,72,,false
album_sidecar_track:album|black moon|enta da stage@@1@@11@@@@shit iz real:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|black moon|enta da stage@@1@@11@@@@shit iz real,album_sidecar_track,track,Black Moon,Shit Iz Real,1993,us,residual_track_no_safe_match,3,43,,false
album_sidecar_track:album|boyz ii men|cooleyhighharmony@@1@@1@@@@please don t go:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|boyz ii men|cooleyhighharmony@@1@@1@@@@please don t go,album_sidecar_track,track,Boyz II Men,Please Don’t Go,1991,us,residual_track_no_safe_match,17,65,,false
album_sidecar_track:album|boyz ii men|cooleyhighharmony@@1@@4@@@@uhh ahh:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|boyz ii men|cooleyhighharmony@@1@@4@@@@uhh ahh,album_sidecar_track,track,Boyz II Men,Uhh Ahh,1991,us,residual_track_no_safe_match,14,65,,false
album_sidecar_track:album|bring me the horizon|sempiternal@@1@@12@@@@join club:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bring me the horizon|sempiternal@@1@@12@@@@join club,album_sidecar_track,track,Bring Me the Horizon,Join the Club,2013,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|bring me the horizon|sempiternal@@1@@13@@@@chasing rainbows:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bring me the horizon|sempiternal@@1@@13@@@@chasing rainbows,album_sidecar_track,track,Bring Me the Horizon,Chasing Rainbows,2013,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|bring me the horizon|sempiternal@@1@@14@@@@deathbeds:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bring me the horizon|sempiternal@@1@@14@@@@deathbeds,album_sidecar_track,track,Bring Me the Horizon,Deathbeds,2013,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|broken social scene|you forgot it in people@@1@@12@@@@i m still your fag:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|broken social scene|you forgot it in people@@1@@12@@@@i m still your fag,album_sidecar_track,track,Broken Social Scene,I’m Still Your Fag,2002,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|bronski beat|age of consent@@1@@10@@@@i feel love johnnie remember me:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bronski beat|age of consent@@1@@10@@@@i feel love johnnie remember me,album_sidecar_track,track,Bronski Beat,I Feel Love / Johnnie Remember Me,1984,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|bronski beat|age of consent@@1@@11@@@@smalltown boy full 12 version:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bronski beat|age of consent@@1@@11@@@@smalltown boy full 12 version,album_sidecar_track,track,Bronski Beat,Smalltown Boy (full 12″ version),1984,us,residual_track_no_safe_match,1,9,,false
album_sidecar_track:album|bronski beat|age of consent@@1@@12@@@@why full 12 version:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bronski beat|age of consent@@1@@12@@@@why full 12 version,album_sidecar_track,track,Bronski Beat,Why? (full 12″ version),1984,us,residual_track_no_safe_match,1,9,,false
album_sidecar_track:album|bullet for my valentine|scream aim fire@@1@@12@@@@say goodnight acoustic version:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|bullet for my valentine|scream aim fire@@1@@12@@@@say goodnight acoustic version,album_sidecar_track,track,Bullet for My Valentine,Say Goodnight (acoustic version),2008,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|burna boy|twice as tall@@1@@13@@@@wettin dey sup:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|burna boy|twice as tall@@1@@13@@@@wettin dey sup,album_sidecar_track,track,Burna Boy,Wettin Dey Sup,2020,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|buzzcocks|singles going steady@@1@@9@@@@what ever happened to:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|buzzcocks|singles going steady@@1@@9@@@@what ever happened to,album_sidecar_track,track,Buzzcocks,What Ever Happened To?,1979,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|byrds|notorious byrd brothers@@1@@10@@@@dolphins smile:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|byrds|notorious byrd brothers@@1@@10@@@@dolphins smile,album_sidecar_track,track,The Byrds,Dolphins' Smile,1968,us,residual_track_no_safe_match,7,57,,false
album_sidecar_track:album|byrds|sweetheart of the rodeo@@1@@1@@@@you ain t going nowhere:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|byrds|sweetheart of the rodeo@@1@@1@@@@you ain t going nowhere,album_sidecar_track,track,The Byrds,You Ain't Going Nowhere,1968,us,residual_track_no_safe_match,9,62,,false
album_sidecar_track:album|calvin harris|18 months@@1@@4@@@@we found love:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|calvin harris|18 months@@1@@4@@@@we found love,album_sidecar_track,track,Calvin Harris,We Found Love,2012,us,residual_track_no_safe_match,1,69,,false
album_sidecar_track:album|camel|mirage@@1@@5@@@@lady fantasy encounter smiles for you lady fantasy:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|camel|mirage@@1@@5@@@@lady fantasy encounter smiles for you lady fantasy,album_sidecar_track,track,Camel,Lady Fantasy: Encounter / Smiles for You / Lady Fantasy,1974,us,residual_track_no_safe_match,5,73,,false
album_sidecar_track:album|candlebox|candlebox@@1@@9@@@@mothers dream:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|candlebox|candlebox@@1@@9@@@@mothers dream,album_sidecar_track,track,Candlebox,Mothers Dream,1993,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|cannibal corpse|tomb of the mutilated@@1@@7@@@@entrails ripped from a virgin s cunt:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|cannibal corpse|tomb of the mutilated@@1@@7@@@@entrails ripped from a virgin s cunt,album_sidecar_track,track,Cannibal Corpse,Entrails Ripped From a Virgin's Cunt,1992,us,residual_track_no_safe_match,3,57,,false
album_sidecar_track:album|cannibal corpse|tomb of the mutilated@@1@@9@@@@beyond cemetery:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|cannibal corpse|tomb of the mutilated@@1@@9@@@@beyond cemetery,album_sidecar_track,track,Cannibal Corpse,Beyond the Cemetery,1992,us,residual_track_no_safe_match,3,57,,false
album_sidecar_track:album|capone n noreaga|war report@@1@@12@@@@stay tuned interlude:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|capone n noreaga|war report@@1@@12@@@@stay tuned interlude,album_sidecar_track,track,Capone-N-Noreaga,Stay Tuned (interlude),1997,us,residual_track_no_safe_match,4,53,,false
album_sidecar_track:album|capone n noreaga|war report@@1@@15@@@@l a l a kuwait mix by marley marl:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|capone n noreaga|war report@@1@@15@@@@l a l a kuwait mix by marley marl,album_sidecar_track,track,Capone-N-Noreaga,"L.A., L.A. (Kuwait mix by Marley Marl)",1997,us,residual_track_no_safe_match,4,57,,false
album_sidecar_track:album|capone n noreaga|war report@@1@@19@@@@closer:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|capone n noreaga|war report@@1@@19@@@@closer,album_sidecar_track,track,Capone-N-Noreaga,Closer,1997,us,residual_track_no_safe_match,4,67,,false
album_sidecar_track:album|capone n noreaga|war report@@1@@3@@@@driver s seat:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|capone n noreaga|war report@@1@@3@@@@driver s seat,album_sidecar_track,track,Capone-N-Noreaga,Driver's Seat,1997,us,residual_track_no_safe_match,4,60,,false
album_sidecar_track:album|chameleons|script of the bridge@@1@@1@@@@up down escalator there must be something wrong boys:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|chameleons|script of the bridge@@1@@1@@@@up down escalator there must be something wrong boys,album_sidecar_track,track,The Chameleons,Up The Down Escalator (There Must Be Something Wrong Boys),1983,us,residual_track_no_safe_match,10,58,,false
album_sidecar_track:album|chameleons|script of the bridge@@1@@6@@@@thursday s child:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|chameleons|script of the bridge@@1@@6@@@@thursday s child,album_sidecar_track,track,The Chameleons,Thursday's Child,1983,us,residual_track_no_safe_match,7,43,,false
album_sidecar_track:album|chantels|we are the chantels@@1@@5@@@@maybe:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|chantels|we are the chantels@@1@@5@@@@maybe,album_sidecar_track,track,The Chantels,Maybe,1958,us,residual_track_no_safe_match,7,66,,false
album_sidecar_track:album|chantels|we are the chantels@@1@@7@@@@every night:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|chantels|we are the chantels@@1@@7@@@@every night,album_sidecar_track,track,The Chantels,Every Night,1958,us,residual_track_no_safe_match,6,53,,false
album_sidecar_track:album|christopher cross|christopher cross@@1@@2@@@@never be same:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|christopher cross|christopher cross@@1@@2@@@@never be same,album_sidecar_track,track,Christopher Cross,Never Be the Same,1979,us,residual_track_no_safe_match,6,53,,false
album_sidecar_track:album|christopher cross|christopher cross@@1@@3@@@@poor shirley beg:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|christopher cross|christopher cross@@1@@3@@@@poor shirley beg,album_sidecar_track,track,Christopher Cross,Poor Shirley (beg.),1979,us,residual_track_no_safe_match,6,46,,false
album_sidecar_track:album|christopher cross|christopher cross@@1@@4@@@@poor shirley concl:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|christopher cross|christopher cross@@1@@4@@@@poor shirley concl,album_sidecar_track,track,Christopher Cross,Poor Shirley (concl.),1979,us,residual_track_no_safe_match,6,45,,false
album_sidecar_track:album|christopher cross|christopher cross@@1@@5@@@@ride like wind:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|christopher cross|christopher cross@@1@@5@@@@ride like wind,album_sidecar_track,track,Christopher Cross,Ride Like the Wind,1979,us,residual_track_no_safe_match,6,65,,false
album_sidecar_track:album|christopher cross|christopher cross@@1@@6@@@@light is on beg:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|christopher cross|christopher cross@@1@@6@@@@light is on beg,album_sidecar_track,track,Christopher Cross,The Light Is On (beg.),1979,us,residual_track_no_safe_match,6,43,,false
album_sidecar_track:album|christopher cross|christopher cross@@1@@7@@@@light is on concl:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|christopher cross|christopher cross@@1@@7@@@@light is on concl,album_sidecar_track,track,Christopher Cross,The Light Is On (concl.),1979,us,residual_track_no_safe_match,6,67,,false
album_sidecar_track:album|chuck berry|after school session@@1@@11@@@@down bound train:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|chuck berry|after school session@@1@@11@@@@down bound train,album_sidecar_track,track,Chuck Berry,Down Bound Train,1957,us,residual_track_no_safe_match,2,57,,false
album_sidecar_track:album|chuck berry|after school session@@1@@9@@@@together we will always be:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|chuck berry|after school session@@1@@9@@@@together we will always be,album_sidecar_track,track,Chuck Berry,Together We Will Always Be,1957,us,residual_track_no_safe_match,2,57,,false
album_sidecar_track:album|chvrches|every open eye@@1@@12@@@@up in arms:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|chvrches|every open eye@@1@@12@@@@up in arms,album_sidecar_track,track,Chvrches,Up in Arms,2015,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|clash|london calling@@2@@4@@@@card cheat:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|clash|london calling@@2@@4@@@@card cheat,album_sidecar_track,track,The Clash,The Card Cheat,1979,us,residual_track_no_safe_match,6,61,,false
album_sidecar_track:album|clash|london calling@@2@@9@@@@train in vain:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|clash|london calling@@2@@9@@@@train in vain,album_sidecar_track,track,The Clash,Train in Vain,1979,us,residual_track_no_safe_match,2,43,,false
