deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_result_rank,best_reject_reason,prior_review_reason,error_message,raw_payload_persisted
graph_song:song|babe rainbow|something:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|babe rainbow|something,graph_song,song,Babe Rainbow,Something,2017,us,direct_song_search_no_auto_match,10,75,2,,apple_song_search_no_auto_match,,false
graph_song:song|bad bunny and jhay cortez|dakiti:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|bad bunny and jhay cortez|dakiti,graph_song,song,Bad Bunny and Jhay Cortez,Dakiti,2020,us,direct_song_search_no_auto_match,10,78,1,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|banda el recodo|y llegaste tu:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|banda el recodo|y llegaste tu,graph_song,song,Banda El Recodo,Y Llegaste Tu,1997,us,direct_song_search_no_auto_match,10,92,1,compatible_artist_without_tight_year,apple_song_search_no_auto_match,,false
graph_song:song|barbarians|moulty:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|barbarians|moulty,graph_song,song,The Barbarians,Moulty,1966,us,direct_song_search_no_auto_match,7,46,3,title_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|basic channel|phylyps trak ii:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|basic channel|phylyps trak ii,graph_song,song,Basic Channel,Phylyps Trak II,1994,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|basic channel|quadrant dub:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|basic channel|quadrant dub,graph_song,song,Basic Channel,Quadrant Dub,1994,us,direct_song_search_no_auto_match,4,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|ben e king|don t play that song:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|ben e king|don t play that song,graph_song,song,Ben E. King,Don't Play That Song,1962,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|benjamin bratt|remember me:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|benjamin bratt|remember me,graph_song,song,Benjamin Bratt,Remember Me,2017,us,direct_song_search_no_auto_match,7,68,1,,apple_song_search_no_auto_match,,false
graph_song:song|bernard herrmann|prelude from psycho:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|bernard herrmann|prelude from psycho,graph_song,song,Bernard Herrmann,Prelude from Psycho,1960,us,direct_song_search_no_auto_match,10,66,1,artist_not_matched,apple_song_search_needs_review_version_risk,,false
graph_song:song|beyonce saint jhn and wizkid featuring blue ivy carter|brown skin girl:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|beyonce saint jhn and wizkid featuring blue ivy carter|brown skin girl,graph_song,song,"Beyonce, Saint Jhn and Wizkid featuring Blue Ivy Carter",Brown Skin Girl,2019,us,direct_song_search_no_auto_match,10,78,1,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|big l|ebonics:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|big l|ebonics,graph_song,song,Big L,Ebonics,1998,us,direct_song_search_no_auto_match,5,72,1,,apple_song_search_needs_review_version_risk,,false
graph_song:song|big pun feat fat joe|twinz deep cover 98:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|big pun feat fat joe|twinz deep cover 98,graph_song,song,Big Pun feat. Fat Joe,Twinz (Deep Cover 98),1998,us,direct_song_search_no_auto_match,10,86,3,compatible_artist_without_tight_year,apple_song_search_needs_review_version_risk,,false
graph_song:song|billy joe shaver|honky tonk heroes:direct_song_search_version_term_needs_review,apple_music_direct_song_hardening_pass_v1,song|billy joe shaver|honky tonk heroes,graph_song,song,Billy Joe Shaver,Honky Tonk Heroes,1973,us,direct_song_search_version_term_needs_review,10,48,1,version_term:live,apple_song_search_no_auto_match,,false
graph_song:song|bing crosby and carol richards|silver bells:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|bing crosby and carol richards|silver bells,graph_song,song,Bing Crosby and Carol Richards,Silver Bells,1950,us,direct_song_search_no_auto_match,10,92,1,compatible_artist_without_tight_year,apple_song_search_needs_review_version_risk,,false
graph_song:song|black dog|virtual:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|black dog|virtual,graph_song,song,The Black Dog,Virtual,1990,us,direct_song_search_no_auto_match,3,32,1,artist_not_matched,apple_song_search_needs_review_version_risk,,false
graph_song:song|black star feat common|respiration flying high remix:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|black star feat common|respiration flying high remix,graph_song,song,Black Star feat. Common,Respiration (Flying High Remix),1999,us,direct_song_search_no_auto_match,9,72,1,,apple_song_search_needs_review_version_risk,,false
graph_song:song|bob james|angela:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|bob james|angela,graph_song,song,Bob James,Angela,1978,us,direct_song_search_no_auto_match,10,83,6,compatible_artist_without_tight_year,apple_song_search_needs_review_version_risk,,false
graph_song:song|bobby shmurda|hot n:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|bobby shmurda|hot n,graph_song,song,Bobby Shmurda,Hot N****,2014,us,direct_song_search_no_auto_match,10,75,2,,apple_song_search_needs_review_version_risk,,false
graph_song:song|body count|cop killer:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|body count|cop killer,graph_song,song,Body Count,Cop Killer,1992,us,direct_song_search_no_auto_match,10,63,8,artist_not_matched,apple_song_search_needs_review_version_risk,,false
graph_song:song|brian hyland|itsy bitsy teenie weenie yellow polkadot bikini:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|brian hyland|itsy bitsy teenie weenie yellow polkadot bikini,graph_song,song,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,us,direct_song_search_no_auto_match,10,59,8,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|bsd u|lighter:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|bsd u|lighter,graph_song,song,bsd.u,Lighter,2015,us,direct_song_search_no_auto_match,10,48,1,title_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|bsd u|peach:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|bsd u|peach,graph_song,song,bsd.u,peach,2014,us,direct_song_search_no_auto_match,2,16,1,title_not_matched;artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|buzzcocks|ever fallen in love:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|buzzcocks|ever fallen in love,graph_song,song,Buzzcocks,Ever Fallen in Love,1978,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|cajmere featuring dajae|brighter days:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|cajmere featuring dajae|brighter days,graph_song,song,Cajmere featuring Dajae,Brighter Days,1992,us,direct_song_search_no_auto_match,10,72,1,,apple_song_search_no_auto_match,,false
graph_song:song|cajmere|percolator:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|cajmere|percolator,graph_song,song,Cajmere,Percolator,1992,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|captain beefheart and his magic band|moonlight on vermont:direct_song_search_version_term_needs_review,apple_music_direct_song_hardening_pass_v1,song|captain beefheart and his magic band|moonlight on vermont,graph_song,song,Captain Beefheart & His Magic Band,Moonlight on Vermont,1969,us,direct_song_search_version_term_needs_review,10,44,1,version_term:live,apple_song_search_no_auto_match,,false
graph_song:song|carolina gaitan mauro castillo adassa rhenzy feliz diane guerrero stephanie beatriz and encanto cast|we don t talk about bruno:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|carolina gaitan mauro castillo adassa rhenzy feliz diane guerrero stephanie beatriz and encanto cast|we don t talk about bruno,graph_song,song,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and Encanto Cast",We Don't Talk About Bruno,2021,us,direct_song_search_no_auto_match,7,78,1,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|ceelo green|closet freak:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|ceelo green|closet freak,graph_song,song,CeeLo Green,Closet Freak,2002,us,direct_song_search_no_auto_match,10,67,2,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|channel one|technicolor:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|channel one|technicolor,graph_song,song,Channel One,Technicolor,1986,us,direct_song_search_no_auto_match,1,66,1,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|cher|after all:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|cher|after all,graph_song,song,Cher,After All,1989,us,direct_song_search_no_auto_match,10,67,4,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|christina aguilera lil kim mya and pink|lady marmalade:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|christina aguilera lil kim mya and pink|lady marmalade,graph_song,song,"Christina Aguilera, Lil' Kim, Mya and Pink",Lady Marmalade,2001,us,direct_song_search_no_auto_match,10,78,1,artist_not_matched,apple_song_search_needs_review_version_risk,,false
graph_song:song|chuck berry|school day:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|chuck berry|school day,graph_song,song,Chuck Berry,School Day,1957,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|ckay|love nwantiti:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|ckay|love nwantiti,graph_song,song,CKay,Love Nwantiti,2019,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_needs_review_version_risk,,false
graph_song:song|comsat angels|independence day:direct_song_search_no_results,apple_music_direct_song_hardening_pass_v1,song|comsat angels|independence day,graph_song,song,The Comsat Angels,Independence Day,1980,us,direct_song_search_no_results,0,,,,apple_song_search_no_results,,false
graph_song:song|cookies|don t say nothin bad:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|cookies|don t say nothin bad,graph_song,song,The Cookies,Don't Say Nothin' Bad,1963,us,direct_song_search_no_auto_match,10,64,1,,apple_song_search_no_auto_match,,false
