candidate_identity_key,apple_collection_id,status,old_track_count,old_tracks_with_apple_id,old_tracks_missing_apple_id,apple_track_count,track_count_delta,old_track_sources,error_message
album|dwight twilley band|twilley don t mind,1444056637,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|dwight yoakam|guitars cadillacs etc etc,1618324660,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|eagles|hotel california,635770200,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|eagles|their greatest hits 1971 1975,635829435,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|earl sweatshirt|some rap songs,1442399872,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|earth wind and fire|that s the way of the world,532975789,rebuilt_from_apple_song_tracklist,8,8,0,8,0,"{""apple_music_catalog_album_tracks"":8}",
album|earth|earth 2 special low frequency version,830789832,rebuilt_from_apple_song_tracklist,3,3,0,3,0,"{""apple_music_catalog_album_tracks"":3}",
album|eazy e|eazy duz it,1440816169,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|echo and the bunnymen|crocodiles,299807766,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|echo and the bunnymen|ocean rain,251006541,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|ed sheeran|x,858518077,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|eddie cochran|eddie cochran sings to you,1443405815,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|eddie palmieri|azucar pa ti,1464263018,rebuilt_from_apple_song_tracklist,7,7,0,7,0,"{""apple_music_catalog_album_tracks"":7}",
album|editors|back room,1378459935,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|el gran combo de puerto rico|aqui no se sienta nadie,280795281,rebuilt_from_apple_song_tracklist,8,8,0,8,0,"{""apple_music_catalog_album_tracks"":8}",
album|el p|fantastic damage,1510478926,rebuilt_from_apple_song_tracklist,16,16,0,16,0,"{""apple_music_catalog_album_tracks"":16}",
album|elastica|elastica,1443993070,rebuilt_from_apple_song_tracklist,16,16,0,16,0,"{""apple_music_catalog_album_tracks"":16}",
album|electric light orchestra|out of the blue,1054525002,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|electric prunes|electric prunes,655574615,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|electric wizard|come my fanatics,965386233,rebuilt_from_apple_song_tracklist,8,8,0,8,0,"{""apple_music_catalog_album_tracks"":8}",
album|electric wizard|dopethrone,965381927,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|elevation worship and maverick city music|old church basement,1557087895,rebuilt_from_apple_song_tracklist,25,13,12,13,-12,"{""apple_music_catalog_album_tracks"":25}",
album|ella fitzgerald and louis armstrong|ella and louis,1469584174,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|ella fitzgerald|ella fitzgerald sings the cole porter song book,1443089499,rebuilt_from_apple_song_tracklist,32,32,0,32,0,"{""apple_music_catalog_album_tracks"":32}",
album|elton john|captain fantastic and the brown dirt cowboy,1440810893,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|elton john|goodbye yellow brick road,1440863013,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|elton john|honky chateau,1440910513,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|elton john|madman across the water,1440643462,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|elvis costello|my aim is true,1440840988,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|elvis presley|elvis christmas album,676288305,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|elvis presley|elvis presley,671019373,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|elvis presley|elvis,671019853,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|emerson lake and palmer|brain salad surgery,1528518952,rebuilt_from_apple_song_tracklist,8,8,0,8,0,"{""apple_music_catalog_album_tracks"":8}",
album|eminem|eminem show,1440903530,rebuilt_from_apple_song_tracklist,20,20,0,20,0,"{""apple_music_catalog_album_tracks"":20}",
album|eminem|marshall mathers lp,1440866782,rebuilt_from_apple_song_tracklist,18,18,0,18,0,"{""apple_music_catalog_album_tracks"":18}",
album|emmylou harris|pieces of the sky,5559908,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|emmylou harris|wrecking ball,849478125,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|emperor|in the nightside eclipse,1670679463,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|english teacher|this could be texas,1731134627,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|enrique iglesias|escape,1440913930,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|entombed|left hand path,362543320,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|enya|watermark,62446480,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|erasure|innocents,332852548,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|eric b and rakim|follow the leader,1442940211,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|eric b and rakim|paid in full,1440841577,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|eric church|chief,721280109,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|ericdoa|things with wings,1620071102,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|erykah badu|baduizm,1440837269,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|erykah badu|mama s gun,1440755899,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|esg|come away with esg,1668437008,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|eslabon armado|nostalgia,1622074671,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|ethel cain|perverts,1781666357,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|ethel cain|preacher s daughter,1619405400,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|etta james|at last,1440838775,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|etta james|tell mama,1371791759,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|eurythmics|sweet dreams are made of this,255965840,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|evanescence|fallen,1440665838,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|exo|war,1260294767,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|exodus|bonded by blood,1004701980,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|faint|danse macabre,6939355,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|faith hill|breathe,321981503,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|faith no more|angel dust,184672979,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|faith no more|real thing,83386606,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fall out boy|from under the cork tree,1440748840,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|fall out boy|take this to your grave,76160059,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|fall|hex enduction hour,1564714288,rebuilt_from_apple_song_tracklist,20,20,0,20,0,"{""apple_music_catalog_album_tracks"":20}",
album|falling in reverse|coming home,1485065540,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|falling in reverse|popular monster,1741617063,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fania all stars|live at the cheetah vol 1,1481517285,rebuilt_from_apple_song_tracklist,4,4,0,4,0,"{""apple_music_catalog_album_tracks"":4}",
album|fat boys|crushin,1559095530,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|fat boys|fat boys,400323441,rebuilt_from_apple_song_tracklist,7,7,0,7,0,"{""apple_music_catalog_album_tracks"":7}",
album|fatboy slim|you ve come a long way baby,714916269,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|father john misty|i love you honeybear,931563362,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|faye webster|i know i m funny haha,1561398236,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|faye webster|underdressed at the symphony,1716952641,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|fear factory|demanufacture,214477830,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|feelies|crazy rhythms,1518271845,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|feelies|good earth,1517986959,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fela kuti|zombie,559710299,rebuilt_from_apple_song_tracklist,4,4,0,4,0,"{""apple_music_catalog_album_tracks"":4}",
album|femi kuti|shoki shoki,1817151873,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|fergie|dutchess,1440659902,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|fever 333|strength in numb333rs,1441326645,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|fifty foot hose|cauldron,1621378191,rebuilt_from_apple_song_tracklist,18,18,0,18,0,"{""apple_music_catalog_album_tracks"":18}",
album|filter|short bus,1576788603,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fiona apple|extraordinary machine,153432152,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|fiona apple|tidal,309677190,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|fiona apple|when the pawn,153019510,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|first aid kit|lion s roar,1583271287,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|fischerspooner|1,715785591,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|five satins|50 best hits 2023 remastered,1715543363,rebuilt_from_apple_song_tracklist,50,50,0,50,0,"{""apple_music_catalog_album_tracks"":50}",
album|flamin groovies|shake some action,276981907,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|flamingos|flamingo serenade,1195540531,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|flatland cavalry|humble folks,1724062817,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fleet foxes|fleet foxes,281086394,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fleet foxes|helplessness blues,425059566,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|fleetwood mac|fleetwood mac,912323292,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fleetwood mac|rumours,594061854,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|floetry|floetic,1440756123,rebuilt_from_apple_song_tracklist,16,16,0,16,0,"{""apple_music_catalog_album_tracks"":16}",
album|florida georgia line|here s to the good times,1440811897,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|flume|skin,1885929732,rebuilt_from_apple_song_tracklist,16,16,0,16,0,"{""apple_music_catalog_album_tracks"":16}",
album|flying burrito brothers|gilded palace of sin,1440876015,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|flying lotus|cosmogramma,367788829,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|foals|antidotes,1551822348,rebuilt_from_apple_song_tracklist,20,20,0,20,0,"{""apple_music_catalog_album_tracks"":20}",
album|foals|total life forever,369960478,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|focus|moving waves,151178566,rebuilt_from_apple_song_tracklist,6,6,0,6,0,"{""apple_music_catalog_album_tracks"":6}",
album|foghat|fool for the city,1098935593,rebuilt_from_apple_song_tracklist,7,7,0,7,0,"{""apple_music_catalog_album_tracks"":7}",
album|fontaines d c|skinty fia,1783171798,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|foo fighters|colour and the shape,362133451,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|food house|food house,1535282231,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|foreigner|4,285143156,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|foster the people|torches,435761204,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fountains of wayne|utopia parkway,281709694,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|fountains of wayne|welcome interstate managers,712721721,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|four tet|rounds,308893811,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|four tops|reach out,1443092485,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|fourplay|fourplay,1306463758,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|frank ocean|blonde,1146195596,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|frank ocean|channel orange,1440765580,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|frank sinatra|come fly with me,1442910348,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|frank sinatra|in the wee small hours,1440815019,rebuilt_from_apple_song_tracklist,16,16,0,16,0,"{""apple_music_catalog_album_tracks"":16}",
album|frank sinatra|songs for swingin lovers,1440841946,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|frank zappa|lumpy gravy,1443184225,rebuilt_from_apple_song_tracklist,2,2,0,2,0,"{""apple_music_catalog_album_tracks"":2}",
album|frankie knuckles|beyond the mix,713019783,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|frankie lymon and the teenagers|why do fools fall in love,1544753342,rebuilt_from_apple_song_tracklist,25,25,0,25,0,"{""apple_music_catalog_album_tracks"":25}",
album|franz ferdinand|franz ferdinand,315843479,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fray|how to save a life,385629502,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|fred again|actual life 3,1640463893,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|fred hammond|pages of life chapters i and ii,303172920,rebuilt_from_apple_song_tracklist,29,29,0,29,0,"{""apple_music_catalog_album_tracks"":29}",
album|fred neil|bleecker and macdougal,59389440,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|free design|you could be born again,1790495797,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|free|fire and water,1440833369,rebuilt_from_apple_song_tracklist,7,7,0,7,0,"{""apple_music_catalog_album_tracks"":7}",
album|front line assembly|tactical neural implant,216663097,rebuilt_from_apple_song_tracklist,8,8,0,8,0,"{""apple_music_catalog_album_tracks"":8}",
album|frost children|speed run,1831252327,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|fuel|sunburn,203911729,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|fuerza regida|pa las baby s y belikeada,1712362875,rebuilt_from_apple_song_tracklist,30,30,0,30,0,"{""apple_music_catalog_album_tracks"":30}",
album|fugazi|repeater,49249888,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|fugees|score,1054461239,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|fugs|fugs first album,1439276930,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|funkadelic|maggot brain,1595227414,rebuilt_from_apple_song_tracklist,7,7,0,7,0,"{""apple_music_catalog_album_tracks"":7}",
album|future|ds2,1017125737,rebuilt_from_apple_song_tracklist,18,18,0,18,0,"{""apple_music_catalog_album_tracks"":18}",
album|future|monster,1484889814,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|galaxie 500|on fire,310810412,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|galaxie 500|today,310812530,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|gang of four|entertainment,1589225331,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|gang of four|solid gold,1589239449,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|gang starr|daily operation,1442868254,rebuilt_from_apple_song_tracklist,18,18,0,18,0,"{""apple_music_catalog_album_tracks"":18}",
album|gang starr|hard to earn,1440845652,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|gang starr|step in the arena,723665537,rebuilt_from_apple_song_tracklist,18,18,0,18,0,"{""apple_music_catalog_album_tracks"":18}",
