deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_candidate_id,best_candidate_title,best_candidate_artist,best_candidate_basis,best_track_overlap_ratio,error_message,prior_review_reason,prior_best_candidate_id,raw_payload_persisted
graph_album:album|flatlanders|more a legend than a band:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|flatlanders|more a legend than a band,graph_album,album,The Flatlanders,More a Legend Than a Band,1990,us,high_confidence_album_no_safe_match,0,,,,,,,,apple_album_search_no_results,,false
graph_album:album|frank zappa|lumpy gravy:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|frank zappa|lumpy gravy,graph_album,album,Frank Zappa,Lumpy Gravy,1968,us,high_confidence_album_no_safe_match,4,81,1443184225,Lumpy Gravy,Abnuceals Emuukha & Electric Symphony Orchestra & Chorus,,0.000,,apple_album_search_no_auto_match,1562897106,false
graph_album:album|fugs|it crawled into my hand honest:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|fugs|it crawled into my hand honest,graph_album,album,The Fugs,"It Crawled Into My Hand, Honest",1968,us,high_confidence_album_no_safe_match,1,40,1439276930,First Album,The Fugs,,0.000,,apple_album_search_no_results,1439276930,false
graph_album:album|funkadelic|one nation under a groove:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|funkadelic|one nation under a groove,graph_album,album,Funkadelic,One Nation Under a Groove,1978,us,high_confidence_album_no_safe_match,5,74,1250180536,One Nation Under a Groove,Various Artists,,0.000,,apple_album_search_no_auto_match,1595227717,false
graph_album:album|garth brooks|no fences:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|garth brooks|no fences,graph_album,album,Garth Brooks,No Fences,1990,us,high_confidence_album_no_safe_match,19,56,1704861945,Garth Brooks Hits - A Tribute Album,Garth Brooks Tribute,,0.200,,apple_album_search_no_auto_match,,false
graph_album:album|garth brooks|ropin the wind:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|garth brooks|ropin the wind,graph_album,album,Garth Brooks,Ropin' the Wind,1991,us,high_confidence_album_no_safe_match,3,56,1704861945,Garth Brooks Hits - A Tribute Album,Garth Brooks Tribute,,0.200,,apple_album_search_no_auto_match,,false
graph_album:album|gene vincent|bluejean bop:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|gene vincent|bluejean bop,graph_album,album,Gene Vincent,Bluejean Bop!,1958,us,high_confidence_album_no_safe_match,1,92,1443088443,Blue Jean Bop,Gene Vincent & His Blue Caps & Gene Vincent,,0.611,,apple_album_search_no_auto_match,1443088443,false
graph_album:album|gene vincent|gene vincent and his blue caps:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|gene vincent|gene vincent and his blue caps,graph_album,album,Gene Vincent,Gene Vincent and His Blue Caps,1957,us,high_confidence_album_no_safe_match,11,57,1801710187,Greatest Hits,Gene Vincent & His Blue Caps,,0.350,,apple_album_search_no_auto_match,1443088443,false
graph_album:album|hanoi rocks|two steps from the move:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|hanoi rocks|two steps from the move,graph_album,album,Hanoi Rocks,Two Steps from the Move,1984,us,high_confidence_album_no_safe_match,1,48,1471136041,Oriental Beat,Hanoi Rocks,,0.000,,apple_album_search_no_results,1471136041,false
graph_album:album|harptones|life is but a dream:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|harptones|life is but a dream,graph_album,album,The Harptones,Life Is But a Dream,1990,us,high_confidence_album_no_safe_match,28,86,1491664837,Life is but a Dream,The Harptones,,0.050,,apple_album_search_no_auto_match,1491664837,false
graph_album:album|idle race|birthday party:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|idle race|birthday party,graph_album,album,The Idle Race,The Birthday Party,1968,us,high_confidence_album_no_safe_match,14,58,1858708569,The Birthday Party,The Puppini Sisters,,0.000,,apple_album_search_no_results,,false
graph_album:album|jackie wilson|mr excitement:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|jackie wilson|mr excitement,graph_album,album,Jackie Wilson,Mr. Excitement!,1962,us,high_confidence_album_no_safe_match,25,79,111289716,20 Greatest Hits (Remastered),Jackie Wilson,,0.550,,apple_album_search_no_auto_match,406066594,false
graph_album:album|jeff mills|waveform transmission vol 1:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|jeff mills|waveform transmission vol 1,graph_album,album,Jeff Mills,Waveform Transmission Vol. 1,1992,us,high_confidence_album_no_safe_match,1,40,1860112728,Jeff Mills at The Liquid Room (DJ Mix),Jeff Mills,,0.000,,apple_album_search_no_results,1860112728,false
graph_album:album|jesus culture|your love never fails:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|jesus culture|your love never fails,graph_album,album,Jesus Culture,Your Love Never Fails,2008,us,high_confidence_album_no_safe_match,31,101,1440830801,Your Love Never Fails (Live),Jesus Culture,,0.000,,apple_album_search_no_auto_match,1440851609,false
graph_album:album|jethro tull|thick as a brick:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|jethro tull|thick as a brick,graph_album,album,Jethro Tull,Thick as a Brick,1972,us,high_confidence_album_no_safe_match,19,75,1006839794,Thick As A Brick (2012 Steven Wilson Stereo Remix),Jethro Tull,,0.000,,apple_album_search_no_auto_match,726371044,false
graph_album:album|joff bush|bluey the album:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|joff bush|bluey the album,graph_album,album,Joff Bush,Bluey: The Album,2021,us,high_confidence_album_no_safe_match,23,92,1808709997,The Bluey Bedtime Collection,Alexandre Alekhine,,0.588,,apple_album_search_no_auto_match,1539220729,false
graph_album:album|jungle brothers|done by the forces of nature:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|jungle brothers|done by the forces of nature,graph_album,album,Jungle Brothers,Done by the Forces of Nature,1989,us,high_confidence_album_no_safe_match,1,45,3242008,Straight Out the Jungle,Jungle Brothers,,0.000,,apple_album_search_no_auto_match,3242008,false
graph_album:album|kathy young and the innocents|a thousand stars:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|kathy young and the innocents|a thousand stars,graph_album,album,Kathy Young & The Innocents,A Thousand Stars,1961,us,high_confidence_album_no_safe_match,27,68,1442688798,A Thousand Stars,Jill Thomas,,0.042,,apple_album_search_no_auto_match,420888756,false
graph_album:album|kruder and dorfmeister|kandd sessions:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|kruder and dorfmeister|kandd sessions,graph_album,album,Kruder & Dorfmeister,The K&D Sessions,1998,us,high_confidence_album_no_safe_match,20,84,1613602443,The K&D Sessions (DJ Mix),Kruder & Dorfmeister,,0.000,,apple_album_search_no_auto_match,1613602443,false
graph_album:album|kurtis blow|tough:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|kurtis blow|tough,graph_album,album,Kurtis Blow,Tough,1982,us,high_confidence_album_no_safe_match,28,65,1443893926,20th Century Master - The Millennium Collection: The Best of Kurtis Blow,Kurtis Blow,,0.400,,apple_album_search_no_auto_match,1442217354,false
graph_album:album|larry heard|sceneries not songs volume one:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|larry heard|sceneries not songs volume one,graph_album,album,Larry Heard,"Sceneries Not Songs, Volume One",1994,us,high_confidence_album_no_safe_match,2,131,1706159425,"Sceneries Not Songs, Volume 1",Larry Heard,,0.778,,apple_album_search_no_auto_match,1402122508,false
graph_album:album|link wray|link wray and the wraymen:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|link wray|link wray and the wraymen,graph_album,album,Link Wray,Link Wray & the Wraymen,1960,us,high_confidence_album_no_safe_match,4,115,342944406,Slinky! The Epic Sessions '58-'61,Link Wray & The Wraymen,,1.000,,apple_album_search_no_auto_match,545183367,false
graph_album:album|little river band|greatest hits:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|little river band|greatest hits,graph_album,album,Little River Band,Greatest Hits,1982,us,high_confidence_album_no_safe_match,58,112,1645806082,Ultimate Hits (Remastered 2022),Little River Band,,1.000,,apple_album_search_no_auto_match,1647730866,false
graph_album:album|ll cool j|bigger and deffer:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|ll cool j|bigger and deffer,graph_album,album,LL Cool J,Bigger and Deffer,1987,us,high_confidence_album_no_safe_match,1,10,1536356374,B.A.D.(Bigger And Deffer) - MB's Single Collection,The Magokoro Brothers,,0.000,,apple_album_search_no_auto_match,,false
graph_album:album|ll cool j|radio:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|ll cool j|radio,graph_album,album,LL Cool J,Radio,1985,us,high_confidence_album_no_safe_match,44,56,1440943452,Radio,Steep Canyon Rangers,,0.000,,apple_album_search_no_auto_match,,false
graph_album:album|lydia lunch|queen of siam:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|lydia lunch|queen of siam,graph_album,album,Lydia Lunch,Queen of Siam,1980,us,high_confidence_album_no_safe_match,3,57,121306783,Queen of Siam,Holy Moses,,0.000,,apple_album_search_no_results,1540689616,false
graph_album:album|mahalia jackson|world s greatest gospel singer:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|mahalia jackson|world s greatest gospel singer,graph_album,album,Mahalia Jackson,The World's Greatest Gospel Singer,1955,us,high_confidence_album_no_safe_match,7,75,1032611117,"Gospels, Spirituals, & Hymns",Mahalia Jackson,,0.545,,apple_album_search_no_auto_match,1032610100,false
graph_album:album|major lance|monkey time:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|major lance|monkey time,graph_album,album,Major Lance,The Monkey Time,1963,us,high_confidence_album_no_safe_match,16,76,1796266849,Monkey Time,The Dials,,0.083,,apple_album_search_no_auto_match,704790161,false
graph_album:album|maverick city music|maverick city vol 3 part 1:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|maverick city music|maverick city vol 3 part 1,graph_album,album,Maverick City Music,Maverick City Vol. 3 Part 1,2020,us,high_confidence_album_no_safe_match,23,63,1571839845,"Maverick City Music, Vol. 3: Pt. 1",Maverick City Music,,0.091,,apple_album_search_no_auto_match,1600590563,false
graph_album:album|minor threat|complete discography:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|minor threat|complete discography,graph_album,album,Minor Threat,Complete Discography,1989,us,high_confidence_album_no_safe_match,30,87,784725777,First Two Seven Inches,Minor Threat,,0.538,,apple_album_search_no_auto_match,,false
