deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,second_score,apple_album_id,error_message,raw_payload_persisted
album_sidecar_track:album|7 seconds|crew@@1@@4@@@@this is angry part 2:album_bound_track_no_safe_match:1565631542,apple_music_sidecar_track_album_bound_pass_v1,album|7 seconds|crew@@1@@4@@@@this is angry part 2,album_sidecar_track,track,7 Seconds,"This Is the Angry, Part 2",1984,us,album_bound_track_no_safe_match,3,47,0,1565631542,,false
album_sidecar_track:album|a ap rocky|long live a ap@@1@@7@@@@fuckin problems:album_bound_track_no_safe_match:1450690198,apple_music_sidecar_track_album_bound_pass_v1,album|a ap rocky|long live a ap@@1@@7@@@@fuckin problems,album_sidecar_track,track,A$AP Rocky,Fuckin’ Problems,2013,us,album_bound_track_no_safe_match,1,57,,1450690198,,false
album_sidecar_track:album|adam and the ants|kings of the wild frontier@@1@@12@@@@physical you re so:album_bound_track_no_safe_match:1108061200,apple_music_sidecar_track_album_bound_pass_v1,album|adam and the ants|kings of the wild frontier@@1@@12@@@@physical you re so,album_sidecar_track,track,Adam and the Ants,Physical (You’re So),1980,us,album_bound_track_no_safe_match,29,57,53,1108061200,,false
album_sidecar_track:album|adam and the ants|kings of the wild frontier@@1@@13@@@@human beings:album_bound_track_no_safe_match:1108061200,apple_music_sidecar_track_album_bound_pass_v1,album|adam and the ants|kings of the wild frontier@@1@@13@@@@human beings,album_sidecar_track,track,Adam and the Ants,The Human Beings,1980,us,album_bound_track_no_safe_match,29,57,53,1108061200,,false
album_sidecar_track:album|adam and the ants|kings of the wild frontier@@1@@5@@@@press darlings:album_bound_track_no_safe_match:1108061200,apple_music_sidecar_track_album_bound_pass_v1,album|adam and the ants|kings of the wild frontier@@1@@5@@@@press darlings,album_sidecar_track,track,Adam and the Ants,Press Darlings,1980,us,album_bound_track_no_safe_match,29,57,52,1108061200,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@6@@@@bombsite boy:album_bound_track_no_safe_match:1668347179,apple_music_sidecar_track_album_bound_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@6@@@@bombsite boy,album_sidecar_track,track,The Adverts,Bombsite Boy,1978,us,album_bound_track_no_safe_match,15,56,43,1668347179,,false
album_sidecar_track:album|alanis morissette|jagged little pill@@1@@13@@@@you oughta know jimmy saint blend your house:album_bound_track_no_safe_match:1715762264,apple_music_sidecar_track_album_bound_pass_v1,album|alanis morissette|jagged little pill@@1@@13@@@@you oughta know jimmy saint blend your house,album_sidecar_track,track,Alanis Morissette,You Oughta Know (Jimmy the Saint Blend) / Your House,1995,us,album_bound_track_no_safe_match,0,0,,1715762264,,false
album_sidecar_track:album|alice in chains|dirt@@1@@10@@@@iron gland:album_bound_track_no_safe_match:157316517,apple_music_sidecar_track_album_bound_pass_v1,album|alice in chains|dirt@@1@@10@@@@iron gland,album_sidecar_track,track,Alice in Chains,Iron Gland,1992,us,album_bound_track_no_safe_match,1,57,,157316517,,false
album_sidecar_track:album|allman brothers band|at fillmore east@@1@@4@@@@whipping post:album_bound_track_no_safe_match:1440833569,apple_music_sidecar_track_album_bound_pass_v1,album|allman brothers band|at fillmore east@@1@@4@@@@whipping post,album_sidecar_track,track,The Allman Brothers Band,Whipping Post,1971,us,album_bound_track_no_safe_match,4,48,45,1440833569,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@9@@@@mountain jam:album_bound_track_no_safe_match:1469584912,apple_music_sidecar_track_album_bound_pass_v1,album|allman brothers band|eat a peach@@1@@9@@@@mountain jam,album_sidecar_track,track,The Allman Brothers Band,Mountain Jam,1972,us,album_bound_track_no_safe_match,1,45,,1469584912,,false
album_sidecar_track:album|amyl and the sniffers|comfort to me@@1@@11@@@@don t need a cunt like you to love me:album_bound_track_no_safe_match:1574728155,apple_music_sidecar_track_album_bound_pass_v1,album|amyl and the sniffers|comfort to me@@1@@11@@@@don t need a cunt like you to love me,album_sidecar_track,track,Amyl and the Sniffers,Don’t Need a Cunt (Like You to Love Me),2021,us,album_bound_track_no_safe_match,1,57,,1574728155,,false
album_sidecar_track:album|andrae crouch|live in london@@1@@8@@@@if i was a tree highest praise:album_bound_track_no_safe_match:305503778,apple_music_sidecar_track_album_bound_pass_v1,album|andrae crouch|live in london@@1@@8@@@@if i was a tree highest praise,album_sidecar_track,track,Andrae Crouch,If I Was a Tree (The Highest Praise),1978,us,album_bound_track_no_safe_match,1,57,,305503778,,false
album_sidecar_track:album|angel witch|angel witch@@1@@10@@@@devils tower:album_bound_track_no_safe_match:1444755676,apple_music_sidecar_track_album_bound_pass_v1,album|angel witch|angel witch@@1@@10@@@@devils tower,album_sidecar_track,track,Angel Witch,Devils Tower,1980,us,album_bound_track_no_safe_match,21,57,12,1444755676,,false
album_sidecar_track:album|angie stone|black diamond@@1@@15@@@@don t wanna ride without you:album_bound_track_no_safe_match:1534248450,apple_music_sidecar_track_album_bound_pass_v1,album|angie stone|black diamond@@1@@15@@@@don t wanna ride without you,album_sidecar_track,track,Angie Stone,Don’t Wanna Ride Without You,1999,us,album_bound_track_no_safe_match,1,72,,1534248450,,false
album_sidecar_track:album|animals|animals@@1@@1@@@@boom boom:album_bound_track_no_safe_match:1440781967,apple_music_sidecar_track_album_bound_pass_v1,album|animals|animals@@1@@1@@@@boom boom,album_sidecar_track,track,The Animals,Boom Boom,1964,us,album_bound_track_no_safe_match,11,48,17,1440781967,,false
album_sidecar_track:album|animals|animals@@1@@3@@@@dimples:album_bound_track_no_safe_match:1440781967,apple_music_sidecar_track_album_bound_pass_v1,album|animals|animals@@1@@3@@@@dimples,album_sidecar_track,track,The Animals,Dimples,1964,us,album_bound_track_no_safe_match,11,46,17,1440781967,,false
album_sidecar_track:album|aretha franklin|amazing grace@@2@@4@@@@god will take care of you:album_bound_track_no_safe_match:1628093959,apple_music_sidecar_track_album_bound_pass_v1,album|aretha franklin|amazing grace@@2@@4@@@@god will take care of you,album_sidecar_track,track,Aretha Franklin,God Will Take Care of You,1972,us,album_bound_track_no_safe_match,4,43,7,1628093959,,false
album_sidecar_track:album|aretha franklin|amazing grace@@2@@5@@@@wholy holy:album_bound_track_no_safe_match:1628093959,apple_music_sidecar_track_album_bound_pass_v1,album|aretha franklin|amazing grace@@2@@5@@@@wholy holy,album_sidecar_track,track,Aretha Franklin,Wholy Holy,1972,us,album_bound_track_no_safe_match,4,43,7,1628093959,,false
album_sidecar_track:album|avenged sevenfold|waking the fallen@@1@@10@@@@i won t see you tonight part 2:album_bound_track_no_safe_match:898356710,apple_music_sidecar_track_album_bound_pass_v1,album|avenged sevenfold|waking the fallen@@1@@10@@@@i won t see you tonight part 2,album_sidecar_track,track,Avenged Sevenfold,"I Won't See You Tonight, Part 2",2003,us,album_bound_track_no_safe_match,13,57,12,898356710,,false
album_sidecar_track:album|avenged sevenfold|waking the fallen@@1@@9@@@@i won t see you tonight part 1:album_bound_track_no_safe_match:898356710,apple_music_sidecar_track_album_bound_pass_v1,album|avenged sevenfold|waking the fallen@@1@@9@@@@i won t see you tonight part 1,album_sidecar_track,track,Avenged Sevenfold,"I Won't See You Tonight, Part 1",2003,us,album_bound_track_no_safe_match,13,57,7,898356710,,false
album_sidecar_track:album|babes in toyland|fontanelle@@1@@13@@@@real eyes:album_bound_track_no_safe_match:300957229,apple_music_sidecar_track_album_bound_pass_v1,album|babes in toyland|fontanelle@@1@@13@@@@real eyes,album_sidecar_track,track,Babes in Toyland,Real Eyes,1992,us,album_bound_track_no_safe_match,1,57,,300957229,,false
album_sidecar_track:album|bad brains|rock for light@@1@@1@@@@coptic times:album_bound_track_no_safe_match:1302287380,apple_music_sidecar_track_album_bound_pass_v1,album|bad brains|rock for light@@1@@1@@@@coptic times,album_sidecar_track,track,Bad Brains,Coptic Times,1983,us,album_bound_track_no_safe_match,14,61,53,1302287380,,false
album_sidecar_track:album|bad brains|rock for light@@1@@12@@@@how low can a punk get:album_bound_track_no_safe_match:1302287380,apple_music_sidecar_track_album_bound_pass_v1,album|bad brains|rock for light@@1@@12@@@@how low can a punk get,album_sidecar_track,track,Bad Brains,How Low Can a Punk Get,1983,us,album_bound_track_no_safe_match,10,61,53,1302287380,,false
album_sidecar_track:album|bad brains|rock for light@@1@@14@@@@i i survive:album_bound_track_no_safe_match:1302287380,apple_music_sidecar_track_album_bound_pass_v1,album|bad brains|rock for light@@1@@14@@@@i i survive,album_sidecar_track,track,Bad Brains,I + I Survive,1983,us,album_bound_track_no_safe_match,9,43,22,1302287380,,false
album_sidecar_track:album|bad brains|rock for light@@1@@5@@@@rally around jah throne:album_bound_track_no_safe_match:1302287380,apple_music_sidecar_track_album_bound_pass_v1,album|bad brains|rock for light@@1@@5@@@@rally around jah throne,album_sidecar_track,track,Bad Brains,Rally Around Jah Throne,1983,us,album_bound_track_no_safe_match,13,49,12,1302287380,,false
album_sidecar_track:album|bad bunny|yhlqmdlg@@1@@16@@@@esta cabron ser yo:album_bound_track_no_safe_match:1500776322,apple_music_sidecar_track_album_bound_pass_v1,album|bad bunny|yhlqmdlg@@1@@16@@@@esta cabron ser yo,album_sidecar_track,track,Bad Bunny,Está cabrón ser yo,2020,us,album_bound_track_no_safe_match,1,57,,1500776322,,false
album_sidecar_track:album|beach boys|surfin u s a@@1@@2@@@@shut down:album_bound_track_no_safe_match:1443101236,apple_music_sidecar_track_album_bound_pass_v1,album|beach boys|surfin u s a@@1@@2@@@@shut down,album_sidecar_track,track,The Beach Boys,Shut Down,1963,us,album_bound_track_no_safe_match,11,65,61,1443101236,,false
album_sidecar_track:album|ben folds|rockin the suburbs@@1@@5@@@@fred jones part 2:album_bound_track_no_safe_match:190084442,apple_music_sidecar_track_album_bound_pass_v1,album|ben folds|rockin the suburbs@@1@@5@@@@fred jones part 2,album_sidecar_track,track,Ben Folds,"Fred Jones, Part 2",2001,us,album_bound_track_no_safe_match,1,58,,190084442,,false
album_sidecar_track:album|big black|songs about fucking@@1@@14@@@@he s a whore:album_bound_track_no_safe_match:443085887,apple_music_sidecar_track_album_bound_pass_v1,album|big black|songs about fucking@@1@@14@@@@he s a whore,album_sidecar_track,track,Big Black,He's a Whore,1987,us,album_bound_track_no_safe_match,0,0,,443085887,,false
album_sidecar_track:album|big l|lifestylez ov da poor and dangerous@@1@@11@@@@fed up with bullshit:album_bound_track_no_safe_match:171028409,apple_music_sidecar_track_album_bound_pass_v1,album|big l|lifestylez ov da poor and dangerous@@1@@11@@@@fed up with bullshit,album_sidecar_track,track,Big L,Fed Up With the Bullshit,1995,us,album_bound_track_no_safe_match,1,57,,171028409,,false
album_sidecar_track:album|bill evans trio|waltz for debby@@1@@3@@@@detour ahead:album_bound_track_no_safe_match:1440747830,apple_music_sidecar_track_album_bound_pass_v1,album|bill evans trio|waltz for debby@@1@@3@@@@detour ahead,album_sidecar_track,track,Bill Evans Trio,Detour Ahead,1962,us,album_bound_track_no_safe_match,8,58,51,1440747830,,false
album_sidecar_track:album|bill evans trio|waltz for debby@@1@@4@@@@my romance:album_bound_track_no_safe_match:1440747830,apple_music_sidecar_track_album_bound_pass_v1,album|bill evans trio|waltz for debby@@1@@4@@@@my romance,album_sidecar_track,track,Bill Evans Trio,My Romance,1962,us,album_bound_track_no_safe_match,8,57,57,1440747830,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@12@@@@end of a love affair:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@12@@@@end of a love affair,album_sidecar_track,track,Billie Holiday,The End of a Love Affair,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@13@@@@prelude to a kiss:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@13@@@@prelude to a kiss,album_sidecar_track,track,Billie Holiday,Prelude to a Kiss,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@14@@@@a ghost of a chance:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@14@@@@a ghost of a chance,album_sidecar_track,track,Billie Holiday,A Ghost of a Chance,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@15@@@@gone with wind:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@15@@@@gone with wind,album_sidecar_track,track,Billie Holiday,Gone With the Wind,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@16@@@@come rain or come shine:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@16@@@@come rain or come shine,album_sidecar_track,track,Billie Holiday,Come Rain or Come Shine,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@17@@@@what s new:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@17@@@@what s new,album_sidecar_track,track,Billie Holiday,What’s New?,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@18@@@@fine and mellow:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@18@@@@fine and mellow,album_sidecar_track,track,Billie Holiday,Fine and Mellow,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@19@@@@when your lover has gone:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@19@@@@when your lover has gone,album_sidecar_track,track,Billie Holiday,When Your Lover Has Gone,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|billie holiday|lady in satin@@1@@20@@@@don t explain:album_bound_track_no_safe_match:1689286255,apple_music_sidecar_track_album_bound_pass_v1,album|billie holiday|lady in satin@@1@@20@@@@don t explain,album_sidecar_track,track,Billie Holiday,Don’t Explain,1958,us,album_bound_track_no_safe_match,0,0,,1689286255,,false
album_sidecar_track:album|bing crosby|merry christmas@@2@@2@@@@let s start new year right:album_bound_track_no_safe_match:1425234668,apple_music_sidecar_track_album_bound_pass_v1,album|bing crosby|merry christmas@@2@@2@@@@let s start new year right,album_sidecar_track,track,Bing Crosby,Let’s Start the New Year Right,1945,us,album_bound_track_no_safe_match,9,21,17,1425234668,,false
album_sidecar_track:album|bing crosby|merry christmas@@3@@2@@@@danny boy:album_bound_track_no_safe_match:1425234668,apple_music_sidecar_track_album_bound_pass_v1,album|bing crosby|merry christmas@@3@@2@@@@danny boy,album_sidecar_track,track,Bing Crosby,Danny Boy,1945,us,album_bound_track_no_safe_match,8,17,13,1425234668,,false
album_sidecar_track:album|black moon|enta da stage@@1@@11@@@@shit iz real:album_bound_track_no_safe_match:1500489652,apple_music_sidecar_track_album_bound_pass_v1,album|black moon|enta da stage@@1@@11@@@@shit iz real,album_sidecar_track,track,Black Moon,Shit Iz Real,1993,us,album_bound_track_no_safe_match,0,0,,1500489652,,false
album_sidecar_track:album|bob marley and the wailers|legend@@1@@16@@@@punky reggae party 12 version bob marley and wailers 412542 1469576121 https music apple com us album punky reggae party 12 version 1469575763 i 1469576121 and uo 4 true:album_bound_track_no_safe_match:1469575763,apple_music_sidecar_track_album_bound_pass_v1,album|bob marley and the wailers|legend@@1@@16@@@@punky reggae party 12 version bob marley and wailers 412542 1469576121 https music apple com us album punky reggae party 12 version 1469575763 i 1469576121 and uo 4 true,album_sidecar_track,track,Bob Marley & The Wailers,"Punky Reggae Party (12 Version),Bob Marley & The Wailers,412542,1469576121,,https://music.apple.com/us/album/punky-reggae-party-12-version/1469575763?i=1469576121&uo=4,true",1984,us,album_bound_track_no_safe_match,1,67,,1469575763,,false
album_sidecar_track:album|boyz ii men|cooleyhighharmony@@1@@4@@@@uhh ahh:album_bound_track_no_safe_match:1440776595,apple_music_sidecar_track_album_bound_pass_v1,album|boyz ii men|cooleyhighharmony@@1@@4@@@@uhh ahh,album_sidecar_track,track,Boyz II Men,Uhh Ahh,1991,us,album_bound_track_no_safe_match,8,65,57,1440776595,,false
album_sidecar_track:album|bring me the horizon|sempiternal@@1@@12@@@@join club:album_bound_track_no_safe_match:598282638,apple_music_sidecar_track_album_bound_pass_v1,album|bring me the horizon|sempiternal@@1@@12@@@@join club,album_sidecar_track,track,Bring Me the Horizon,Join the Club,2013,us,album_bound_track_no_safe_match,0,0,,598282638,,false
album_sidecar_track:album|bring me the horizon|sempiternal@@1@@13@@@@chasing rainbows:album_bound_track_no_safe_match:598282638,apple_music_sidecar_track_album_bound_pass_v1,album|bring me the horizon|sempiternal@@1@@13@@@@chasing rainbows,album_sidecar_track,track,Bring Me the Horizon,Chasing Rainbows,2013,us,album_bound_track_no_safe_match,0,0,,598282638,,false
album_sidecar_track:album|bring me the horizon|sempiternal@@1@@14@@@@deathbeds:album_bound_track_no_safe_match:598282638,apple_music_sidecar_track_album_bound_pass_v1,album|bring me the horizon|sempiternal@@1@@14@@@@deathbeds,album_sidecar_track,track,Bring Me the Horizon,Deathbeds,2013,us,album_bound_track_no_safe_match,0,0,,598282638,,false
album_sidecar_track:album|broken social scene|you forgot it in people@@1@@12@@@@i m still your fag:album_bound_track_no_safe_match:1442853882,apple_music_sidecar_track_album_bound_pass_v1,album|broken social scene|you forgot it in people@@1@@12@@@@i m still your fag,album_sidecar_track,track,Broken Social Scene,I’m Still Your Fag,2002,us,album_bound_track_no_safe_match,1,57,,1442853882,,false
album_sidecar_track:album|bronski beat|age of consent@@1@@10@@@@i feel love johnnie remember me:album_bound_track_no_safe_match:1760177641,apple_music_sidecar_track_album_bound_pass_v1,album|bronski beat|age of consent@@1@@10@@@@i feel love johnnie remember me,album_sidecar_track,track,Bronski Beat,I Feel Love / Johnnie Remember Me,1984,us,album_bound_track_no_safe_match,1,57,,1760177641,,false
album_sidecar_track:album|bronski beat|age of consent@@1@@11@@@@smalltown boy full 12 version:album_bound_track_no_safe_match:1760177641,apple_music_sidecar_track_album_bound_pass_v1,album|bronski beat|age of consent@@1@@11@@@@smalltown boy full 12 version,album_sidecar_track,track,Bronski Beat,Smalltown Boy (full 12″ version),1984,us,album_bound_track_no_safe_match,1,7,,1760177641,,false
album_sidecar_track:album|bronski beat|age of consent@@1@@12@@@@why full 12 version:album_bound_track_no_safe_match:1760177641,apple_music_sidecar_track_album_bound_pass_v1,album|bronski beat|age of consent@@1@@12@@@@why full 12 version,album_sidecar_track,track,Bronski Beat,Why? (full 12″ version),1984,us,album_bound_track_no_safe_match,1,7,,1760177641,,false
album_sidecar_track:album|bsd u|late night bumps@@1@@3@@@@moment of clarity:album_bound_track_no_safe_match:1828927475,apple_music_sidecar_track_album_bound_pass_v1,album|bsd u|late night bumps@@1@@3@@@@moment of clarity,album_sidecar_track,track,bsd.u,moment of clarity,2014,us,album_bound_track_no_safe_match,3,46,9,1828927475,,false
album_sidecar_track:album|bsd u|late night bumps@@1@@5@@@@crush on u:album_bound_track_no_safe_match:1828927475,apple_music_sidecar_track_album_bound_pass_v1,album|bsd u|late night bumps@@1@@5@@@@crush on u,album_sidecar_track,track,bsd.u,crush on u,2014,us,album_bound_track_no_safe_match,2,44,9,1828927475,,false
album_sidecar_track:album|bsd u|late night bumps@@1@@7@@@@last summer:album_bound_track_no_safe_match:1828927475,apple_music_sidecar_track_album_bound_pass_v1,album|bsd u|late night bumps@@1@@7@@@@last summer,album_sidecar_track,track,bsd.u,last summer,2014,us,album_bound_track_no_safe_match,1,8,,1828927475,,false
album_sidecar_track:album|bsd u|late night bumps@@1@@8@@@@nobody has used this sample before doe or die:album_bound_track_no_safe_match:1828927475,apple_music_sidecar_track_album_bound_pass_v1,album|bsd u|late night bumps@@1@@8@@@@nobody has used this sample before doe or die,album_sidecar_track,track,bsd.u,nobody has used this sample before // doe or die,2014,us,album_bound_track_no_safe_match,1,13,,1828927475,,false
album_sidecar_track:album|buck owens|carnegie hall concert@@1@@10@@@@medley under your spell again above and beyond excuse me i think i ve got a heartache foolin around hello trouble truck driving man:album_bound_track_no_safe_match:1468587509,apple_music_sidecar_track_album_bound_pass_v1,album|buck owens|carnegie hall concert@@1@@10@@@@medley under your spell again above and beyond excuse me i think i ve got a heartache foolin around hello trouble truck driving man,album_sidecar_track,track,Buck Owens,Medley: Under Your Spell Again / Above and Beyond / Excuse Me (I Think I’ve Got a Heartache) / Foolin’ Around / Hello Trouble / Truck Driving’ Man,1966,us,album_bound_track_no_safe_match,11,21,18,1468587509,,false
album_sidecar_track:album|buck owens|carnegie hall concert@@1@@4@@@@medley in palm of your hand cryin time don t let her know only you can break my heart:album_bound_track_no_safe_match:1468587509,apple_music_sidecar_track_album_bound_pass_v1,album|buck owens|carnegie hall concert@@1@@4@@@@medley in palm of your hand cryin time don t let her know only you can break my heart,album_sidecar_track,track,Buck Owens,Medley: In the Palm of Your Hand / Cryin’ Time / Don’t Let Her Know / Only You (Can Break My Heart),1966,us,album_bound_track_no_safe_match,13,46,17,1468587509,,false
album_sidecar_track:album|buck owens|carnegie hall concert@@1@@5@@@@medley i don t care just as long as you love me my heart skips a beat gonna have love:album_bound_track_no_safe_match:1468587509,apple_music_sidecar_track_album_bound_pass_v1,album|buck owens|carnegie hall concert@@1@@5@@@@medley i don t care just as long as you love me my heart skips a beat gonna have love,album_sidecar_track,track,Buck Owens,Medley: I Don’t Care (Just as Long as You Love Me) / My Heart Skips a Beat / Gonna Have Love,1966,us,album_bound_track_no_safe_match,13,45,44,1468587509,,false
album_sidecar_track:album|buck owens|carnegie hall concert@@1@@6@@@@waitin in your welfare line:album_bound_track_no_safe_match:1468587509,apple_music_sidecar_track_album_bound_pass_v1,album|buck owens|carnegie hall concert@@1@@6@@@@waitin in your welfare line,album_sidecar_track,track,Buck Owens,Waitin’ in Your Welfare Line,1966,us,album_bound_track_no_safe_match,13,61,53,1468587509,,false
album_sidecar_track:album|buck owens|carnegie hall concert@@1@@9@@@@i ve got a tiger by tail:album_bound_track_no_safe_match:1468587509,apple_music_sidecar_track_album_bound_pass_v1,album|buck owens|carnegie hall concert@@1@@9@@@@i ve got a tiger by tail,album_sidecar_track,track,Buck Owens,I’ve Got a Tiger by the Tail,1966,us,album_bound_track_no_safe_match,11,47,43,1468587509,,false
album_sidecar_track:album|bullet for my valentine|scream aim fire@@1@@12@@@@say goodnight acoustic version:album_bound_track_no_safe_match:272198989,apple_music_sidecar_track_album_bound_pass_v1,album|bullet for my valentine|scream aim fire@@1@@12@@@@say goodnight acoustic version,album_sidecar_track,track,Bullet for My Valentine,Say Goodnight (acoustic version),2008,us,album_bound_track_no_safe_match,0,0,,272198989,,false
album_sidecar_track:album|burna boy|twice as tall@@1@@13@@@@wettin dey sup:album_bound_track_no_safe_match:1527514852,apple_music_sidecar_track_album_bound_pass_v1,album|burna boy|twice as tall@@1@@13@@@@wettin dey sup,album_sidecar_track,track,Burna Boy,Wettin Dey Sup,2020,us,album_bound_track_no_safe_match,1,57,,1527514852,,false
album_sidecar_track:album|buzzcocks|singles going steady@@1@@9@@@@what ever happened to:album_bound_track_no_safe_match:1458533505,apple_music_sidecar_track_album_bound_pass_v1,album|buzzcocks|singles going steady@@1@@9@@@@what ever happened to,album_sidecar_track,track,Buzzcocks,What Ever Happened To?,1979,us,album_bound_track_no_safe_match,1,57,,1458533505,,false
album_sidecar_track:album|byrds|notorious byrd brothers@@1@@10@@@@dolphins smile:album_bound_track_no_safe_match:257558067,apple_music_sidecar_track_album_bound_pass_v1,album|byrds|notorious byrd brothers@@1@@10@@@@dolphins smile,album_sidecar_track,track,The Byrds,Dolphins' Smile,1968,us,album_bound_track_no_safe_match,7,57,17,257558067,,false
album_sidecar_track:album|byrds|sweetheart of the rodeo@@1@@1@@@@you ain t going nowhere:album_bound_track_no_safe_match:170506766,apple_music_sidecar_track_album_bound_pass_v1,album|byrds|sweetheart of the rodeo@@1@@1@@@@you ain t going nowhere,album_sidecar_track,track,The Byrds,You Ain't Going Nowhere,1968,us,album_bound_track_no_safe_match,9,62,17,170506766,,false
album_sidecar_track:album|camel|mirage@@1@@5@@@@lady fantasy encounter smiles for you lady fantasy:album_bound_track_no_safe_match:1443266362,apple_music_sidecar_track_album_bound_pass_v1,album|camel|mirage@@1@@5@@@@lady fantasy encounter smiles for you lady fantasy,album_sidecar_track,track,Camel,Lady Fantasy: Encounter / Smiles for You / Lady Fantasy,1974,us,album_bound_track_no_safe_match,5,73,45,1443266362,,false
album_sidecar_track:album|candlebox|candlebox@@1@@9@@@@mothers dream:album_bound_track_no_safe_match:300983126,apple_music_sidecar_track_album_bound_pass_v1,album|candlebox|candlebox@@1@@9@@@@mothers dream,album_sidecar_track,track,Candlebox,Mothers Dream,1993,us,album_bound_track_no_safe_match,1,57,,300983126,,false
album_sidecar_track:album|cannibal corpse|tomb of the mutilated@@1@@7@@@@entrails ripped from a virgin s cunt:album_bound_track_no_safe_match:56585354,apple_music_sidecar_track_album_bound_pass_v1,album|cannibal corpse|tomb of the mutilated@@1@@7@@@@entrails ripped from a virgin s cunt,album_sidecar_track,track,Cannibal Corpse,Entrails Ripped From a Virgin's Cunt,1992,us,album_bound_track_no_safe_match,3,57,17,56585354,,false
album_sidecar_track:album|cannibal corpse|tomb of the mutilated@@1@@9@@@@beyond cemetery:album_bound_track_no_safe_match:56585354,apple_music_sidecar_track_album_bound_pass_v1,album|cannibal corpse|tomb of the mutilated@@1@@9@@@@beyond cemetery,album_sidecar_track,track,Cannibal Corpse,Beyond the Cemetery,1992,us,album_bound_track_no_safe_match,3,57,7,56585354,,false
album_sidecar_track:album|capone n noreaga|war report@@1@@12@@@@stay tuned interlude:album_bound_track_no_safe_match:1604624690,apple_music_sidecar_track_album_bound_pass_v1,album|capone n noreaga|war report@@1@@12@@@@stay tuned interlude,album_sidecar_track,track,Capone-N-Noreaga,Stay Tuned (interlude),1997,us,album_bound_track_no_safe_match,4,53,17,1604624690,,false
album_sidecar_track:album|capone n noreaga|war report@@1@@3@@@@driver s seat:album_bound_track_no_safe_match:1604624690,apple_music_sidecar_track_album_bound_pass_v1,album|capone n noreaga|war report@@1@@3@@@@driver s seat,album_sidecar_track,track,Capone-N-Noreaga,Driver's Seat,1997,us,album_bound_track_no_safe_match,4,60,17,1604624690,,false
album_sidecar_track:album|chameleons|script of the bridge@@1@@6@@@@thursday s child:album_bound_track_no_safe_match:506784553,apple_music_sidecar_track_album_bound_pass_v1,album|chameleons|script of the bridge@@1@@6@@@@thursday s child,album_sidecar_track,track,The Chameleons,Thursday's Child,1983,us,album_bound_track_no_safe_match,5,43,21,506784553,,false
album_sidecar_track:album|cheap trick|cheap trick at budokan@@1@@9@@@@goodnight now:album_bound_track_no_safe_match:193204065,apple_music_sidecar_track_album_bound_pass_v1,album|cheap trick|cheap trick at budokan@@1@@9@@@@goodnight now,album_sidecar_track,track,Cheap Trick,Goodnight Now,1978,us,album_bound_track_no_safe_match,1,72,,193204065,,false
album_sidecar_track:album|chiffons|chiffons@@1@@1@@@@one fine day:album_bound_track_no_safe_match:1466690187,apple_music_sidecar_track_album_bound_pass_v1,album|chiffons|chiffons@@1@@1@@@@one fine day,album_sidecar_track,track,The Chiffons,One Fine Day,1963,us,album_bound_track_no_safe_match,44,67,58,1466690187,,false
